id,area_code,geonum,sector_id,sector_name,population_year,total_jobs
502701,1,108001,0,Total Jobs,2011,199838
504501,3,108003,0,Total Jobs,2011,9572
506301,5,108005,0,Total Jobs,2011,342418
508101,7,108007,0,Total Jobs,2011,5643
509901,9,108009,0,Total Jobs,2011,2143
511701,11,108011,0,Total Jobs,2011,1833
513501,13,108013,0,Total Jobs,2011,204243
515301,14,108014,0,Total Jobs,2011,36204
517101,15,108015,0,Total Jobs,2011,9076
518901,17,108017,0,Total Jobs,2011,1299
520701,19,108019,0,Total Jobs,2011,4324
522501,21,108021,0,Total Jobs,2011,2403
524301,23,108023,0,Total Jobs,2011,1170
526101,25,108025,0,Total Jobs,2011,1555
527901,27,108027,0,Total Jobs,2011,1650
529701,29,108029,0,Total Jobs,2011,12312
531501,31,108031,0,Total Jobs,2011,491827
533301,33,108033,0,Total Jobs,2011,741
535101,35,108035,0,Total Jobs,2011,125761
536901,37,108037,0,Total Jobs,2011,35771
538701,39,108039,0,Total Jobs,2011,6433
540501,41,108041,0,Total Jobs,2011,330181
542301,43,108043,0,Total Jobs,2011,17083
544101,45,108045,0,Total Jobs,2011,31593
545901,47,108047,0,Total Jobs,2011,6059
547701,49,108049,0,Total Jobs,2011,8770
549501,51,108051,0,Total Jobs,2011,10552
551301,53,108053,0,Total Jobs,2011,469
553101,55,108055,0,Total Jobs,2011,2754
554901,57,108057,0,Total Jobs,2011,838
556701,59,108059,0,Total Jobs,2011,270515
558501,61,108061,0,Total Jobs,2011,1028
560301,63,108063,0,Total Jobs,2011,4271
562101,65,108065,0,Total Jobs,2011,2622
563901,67,108067,0,Total Jobs,2011,31332
565701,69,108069,0,Total Jobs,2011,167715
567501,71,108071,0,Total Jobs,2011,7139
569301,73,108073,0,Total Jobs,2011,2966
571101,75,108075,0,Total Jobs,2011,10519
572901,77,108077,0,Total Jobs,2011,73577
574701,79,108079,0,Total Jobs,2011,661
576501,81,108081,0,Total Jobs,2011,6535
578301,83,108083,0,Total Jobs,2011,12094
580101,85,108085,0,Total Jobs,2011,18717
581901,87,108087,0,Total Jobs,2011,14794
583701,89,108089,0,Total Jobs,2011,8210
585501,91,108091,0,Total Jobs,2011,2421
587301,93,108093,0,Total Jobs,2011,4264
589101,95,108095,0,Total Jobs,2011,2267
590901,97,108097,0,Total Jobs,2011,19513
592701,99,108099,0,Total Jobs,2011,6221
594501,101,108101,0,Total Jobs,2011,69246
596301,103,108103,0,Total Jobs,2011,4153
598101,105,108105,0,Total Jobs,2011,5642
599901,107,108107,0,Total Jobs,2011,17644
601701,109,108109,0,Total Jobs,2011,2555
603501,111,108111,0,Total Jobs,2011,414
605301,113,108113,0,Total Jobs,2011,6380
607101,115,108115,0,Total Jobs,2011,1241
608901,117,108117,0,Total Jobs,2011,22431
610701,119,108119,0,Total Jobs,2011,9766
612501,121,108121,0,Total Jobs,2011,2132
614301,123,108123,0,Total Jobs,2011,107977
616101,125,108125,0,Total Jobs,2011,5808
